"具体事项","计分","备注"
"shove","v.推搡，猛推","e.g. The crowd was pushing and shoving to get a better view."
"deplore","v.谴责，悲悼，痛惜","""de""意为“向下”,""plore""为“哭泣”, 类似的还有implore v.乞求、explore v.探索"
"affirm","v.断言；声明，肯定","n.affirmation 断言，肯定，主张；adj.affirmative 肯定的"
"doze","v.打瞌睡，打盹","sleep、doze、nap、snooze"
"impair","v.损害，削弱","""im""为""进入,使"",“pair”缩写自 pejorative,为""更坏的,贬低的"""
"censor","v.审查，检查；n.检察员","censorship n.审查制度，审查机构"
"aggregate","adj.总的，合计的；n.总数；v.集合","区别aggregate和aggress(v.攻击，侵略)"
"esthetic","adj.审美的，美学的","1、同aesthetic 2、anesthetic adj.麻醉的，注意区分 3、aesthetics n.美学 "
"alleviate","v.减轻，缓和，缓解","al(=ad,使)+levi(轻，源自拉丁语levis)+ate(动词后缀)，类似的还有leviate v.漂浮、elevate v.抬起，举起、relieve v.减轻"
"agitate","v.鼓励，煽动，搅动","1、agitate=agit(摇动)+ate(动词后缀)  2、agitation n. 鼓动"
"secular","adj.世俗的","e.g. Churches should not be used for profane or secular purposes."
"weary","adj.疲倦的，困乏的","来自古英语 werig, 疲劳的，悲惨的，进一步词源不详。或来自 wear, 磨损，引申词义疲乏，乏味"
"confederate","adj.同盟的，联盟的","1、 “fed”意为相信、信任，例如federal  2、confederate v.同盟"
"appal","v.使惊吓，使震惊","ap(=ad,使)+pal(苍白的)"
"symmetry","n.对称，均衡","adj.symmetric 对称的；反：asymmetry"
"deport","v.打发走，遣送，驱逐","de(分离)+port(运输，携带)，类似的词还有import、export、passport、comport vt.行为,举止 vi.相似、disport v.娱乐"
"transcend","v.超越，超过","“scend”, 爬,上升，类似的还有descend、ascend v.上升,登上"
"subsidize","v.给予补助金","n.subsidy 津贴，补助金"
"squad","n.班，小队，组","e.g. A squad of our troops held off six attacks of a numerically superior enemy."
"strand","n.股，缕；方面，部分；海岸","e.g. Marxist theories evolved from different strands of social analysis."
"detention","n.扣留，扣押，监禁","e.g. He was kept in detention by the police."
"vular","adj.粗俗的，下流的","e.g. a vulgar man"
"appraise","v.评估，鉴定，评价","类似的词：evaculate、estimate、analyze、assess"
"summon","v.召唤，召集；请求","summon a meeting/assistance/help/reinforcement 请求帮助"
"modify","v.调整，修改，缓和","1、modify your behavior/language/views  2、n.modification"
"deter","v.防止，阻止","n.deterrent 威慑物"
"alienate","v.使疏远，挑拨","n.alienation 疏远"
"maintenance","n.维修，维护","e.g. The school pays for heating and the maintenance of the buildings."
"destined","adj.命中注定的","destine v.注定；预定"
"allude","v.暗示，影射","allusion n.暗示，引喻"
